sjis	index13	zxingcpp	cp932
8140	0	U+3000	U+3000
8141	1	U+3001	U+3001
8142	2	U+3002	U+3002
8143	3	U+FF0C	U+FF0C
8144	4	U+FF0E	U+FF0E
8145	5	U+30FB	U+30FB
8146	6	U+FF1A	U+FF1A
8147	7	U+FF1B	U+FF1B
8148	8	U+FF1F	U+FF1F
8149	9	U+FF01	U+FF01
814A	10	U+309B	U+309B
814B	11	U+309C	U+309C
814C	12	U+00B4	U+00B4
814D	13	U+FF40	U+FF40
814E	14	U+00A8	U+00A8
814F	15	U+FF3E	U+FF3E
8150	16	U+FFE3	U+FFE3
8151	17	U+FF3F	U+FF3F
8152	18	U+30FD	U+30FD
8153	19	U+30FE	U+30FE
8154	20	U+309D	U+309D
8155	21	U+309E	U+309E
8156	22	U+3003	U+3003
8157	23	U+4EDD	U+4EDD
8158	24	U+3005	U+3005
8159	25	U+3006	U+3006
815A	26	U+3007	U+3007
815B	27	U+30FC	U+30FC
815C	28	U+2015	U+2015
815D	29	U+2010	U+2010
815E	30	U+FF0F	U+FF0F
815F	31	U+005C	U+FF3C
8160	32	U+301C	U+FF5E
8161	33	U+2016	U+2225
8162	34	U+FF5C	U+FF5C
8163	35	U+2026	U+2026
8164	36	U+2025	U+2025
8165	37	U+2018	U+2018
8166	38	U+2019	U+2019
8167	39	U+201C	U+201C
8168	40	U+201D	U+201D
8169	41	U+FF08	U+FF08
816A	42	U+FF09	U+FF09
816B	43	U+3014	U+3014
816C	44	U+3015	U+3015
816D	45	U+FF3B	U+FF3B
816E	46	U+FF3D	U+FF3D
816F	47	U+FF5B	U+FF5B
8170	48	U+FF5D	U+FF5D
8171	49	U+3008	U+3008
8172	50	U+3009	U+3009
8173	51	U+300A	U+300A
8174	52	U+300B	U+300B
8175	53	U+300C	U+300C
8176	54	U+300D	U+300D
8177	55	U+300E	U+300E
8178	56	U+300F	U+300F
8179	57	U+3010	U+3010
817A	58	U+3011	U+3011
817B	59	U+FF0B	U+FF0B
817C	60	U+2212	U+FF0D
817D	61	U+00B1	U+00B1
817E	62	U+00D7	U+00D7
8180	64	U+00F7	U+00F7
8181	65	U+FF1D	U+FF1D
8182	66	U+2260	U+2260
8183	67	U+FF1C	U+FF1C
8184	68	U+FF1E	U+FF1E
8185	69	U+2266	U+2266
8186	70	U+2267	U+2267
8187	71	U+221E	U+221E
8188	72	U+2234	U+2234
8189	73	U+2642	U+2642
818A	74	U+2640	U+2640
818B	75	U+00B0	U+00B0
818C	76	U+2032	U+2032
818D	77	U+2033	U+2033
818E	78	U+2103	U+2103
818F	79	U+FFE5	U+FFE5
8190	80	U+FF04	U+FF04
8191	81	U+00A2	U+FFE0
8192	82	U+00A3	U+FFE1
8193	83	U+FF05	U+FF05
8194	84	U+FF03	U+FF03
8195	85	U+FF06	U+FF06
8196	86	U+FF0A	U+FF0A
8197	87	U+FF20	U+FF20
8198	88	U+00A7	U+00A7
8199	89	U+2606	U+2606
819A	90	U+2605	U+2605
819B	91	U+25CB	U+25CB
819C	92	U+25CF	U+25CF
819D	93	U+25CE	U+25CE
819E	94	U+25C7	U+25C7
819F	95	U+25C6	U+25C6
81A0	96	U+25A1	U+25A1
81A1	97	U+25A0	U+25A0
81A2	98	U+25B3	U+25B3
81A3	99	U+25B2	U+25B2
81A4	100	U+25BD	U+25BD
81A5	101	U+25BC	U+25BC
81A6	102	U+203B	U+203B
81A7	103	U+3012	U+3012
81A8	104	U+2192	U+2192
81A9	105	U+2190	U+2190
81AA	106	U+2191	U+2191
81AB	107	U+2193	U+2193
81AC	108	U+3013	U+3013
81AD	109		U+30FB
81AE	110		U+30FB
81AF	111		U+30FB
81B0	112		U+30FB
81B1	113		U+30FB
81B2	114		U+30FB
81B3	115		U+30FB
81B4	116		U+30FB
81B5	117		U+30FB
81B6	118		U+30FB
81B7	119		U+30FB
81B8	120	U+2208	U+2208
81B9	121	U+220B	U+220B
81BA	122	U+2286	U+2286
81BB	123	U+2287	U+2287
81BC	124	U+2282	U+2282
81BD	125	U+2283	U+2283
81BE	126	U+222A	U+222A
81BF	127	U+2229	U+2229
81C0	128		U+30FB
81C1	129		U+30FB
81C2	130		U+30FB
81C3	131		U+30FB
81C4	132		U+30FB
81C5	133		U+30FB
81C6	134		U+30FB
81C7	135		U+30FB
81C8	136	U+2227	U+2227
81C9	137	U+2228	U+2228
81CA	138	U+00AC	U+FFE2
